               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095589,            0.029651,                   0,                   0,                   0,                   0,                   0,              0.1198,            0.028671,                   0,            0.070833,           0.0032407,           0.0032407
                   1,             0.10806,             0.03058,                   0,          0.00041667,            0.058824,          0.00028769,          5.7537e-05,             0.11655,            0.028177,                   0,            0.040703,           0.0064439,           0.0064439
                   2,            0.092578,            0.028809,                   0,          0.00066667,             0.11765,           0.0010538,          0.00019061,             0.12186,            0.024768,                   0,            0.010441,           0.0095151,           0.0095151
                   3,             0.10366,            0.026023,                   0,          0.00066667,             0.11765,           0.0010538,          0.00019061,             0.12186,            0.024768,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.090486,            0.025721,                   0,          0.00066667,             0.11765,          0.00083351,          0.00010189,             0.11065,            0.022678,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.098109,            0.024535,                   0,          0.00066667,             0.11765,          0.00083351,          0.00010189,             0.11065,            0.022678,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.093361,            0.023536,                   0,          0.00033333,            0.058824,          0.00049147,          7.5599e-05,             0.10641,             0.02112,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.10445,            0.022799,                   0,          0.00033333,            0.058824,          0.00049147,          7.5599e-05,             0.10641,             0.02112,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.091605,            0.019949,                   0,          0.00033333,            0.058824,          0.00070269,          0.00015479,             0.10722,            0.019406,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.096052,            0.020189,                   0,          0.00033333,            0.058824,          0.00025057,          4.9843e-05,             0.10217,            0.018493,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.088145,             0.01919,                   0,          0.00033333,            0.058824,          0.00025057,          4.9843e-05,             0.10217,            0.018493,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.091323,            0.020527,                   0,          0.00033333,            0.058824,          0.00018924,          1.8924e-05,             0.10077,            0.017149,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.09593,            0.020002,                   0,          0.00033333,            0.058824,          0.00018924,          1.8924e-05,             0.10077,            0.017149,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.088239,            0.019179,                   0,          0.00033333,            0.058824,          0.00020245,          7.7602e-05,            0.098439,            0.016469,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.074851,            0.015239,                   0,          0.00033333,            0.058824,          0.00020245,          7.7602e-05,            0.098439,            0.016469,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.086506,            0.018108,                   0,          0.00033333,            0.058824,          0.00020131,          2.0131e-05,            0.096706,            0.015862,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.082889,            0.016158,                   0,          0.00066667,             0.11765,          0.00040231,          0.00026425,            0.097803,              0.0149,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.084311,            0.016644,                   0,          0.00066667,             0.11765,          0.00040231,          0.00026425,            0.097803,              0.0149,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.082851,            0.018669,                   0,           0.0013333,             0.23529,          0.00088997,          0.00024762,            0.093736,            0.014961,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.089751,            0.017996,                   0,           0.0013333,             0.23529,          0.00088997,          0.00024762,            0.093736,            0.014961,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.079675,            0.016555,                   0,           0.0026667,             0.47059,           0.0026189,          0.00092194,            0.083149,            0.015974,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.076242,            0.018394,                   0,           0.0026667,             0.47059,           0.0026189,          0.00092194,            0.083149,            0.015974,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.078893,            0.020427,                   0,           0.0033333,             0.58824,           0.0034236,           0.0013417,            0.080013,             0.01591,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.067421,            0.019025,                   0,           0.0033333,             0.58824,           0.0034236,           0.0013417,            0.080013,             0.01591,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.067975,            0.016675,                   0,           0.0036667,             0.64706,           0.0058867,           0.0014995,            0.079473,            0.015364,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.076831,            0.019951,                   0,           0.0033333,             0.58824,           0.0049904,           0.0014641,            0.083798,            0.014544,                   0,            0.005248,            0.005248,            0.005248
                  26,             0.07517,            0.017875,                   0,           0.0033333,             0.58824,           0.0049904,           0.0014641,            0.083798,            0.014544,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.072311,            0.017985,                   0,           0.0036667,             0.64706,             0.01316,           0.0033201,            0.075294,            0.015665,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.076914,            0.021134,                   0,           0.0036667,             0.64706,             0.01316,           0.0033201,            0.075294,            0.015665,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.063006,            0.016611,                   0,           0.0036667,             0.64706,            0.011863,           0.0035947,            0.077605,            0.015039,                   0,            0.004456,            0.004456,            0.004456
                  30,             0.06445,            0.018756,                   0,           0.0036667,             0.64706,            0.011863,           0.0035947,            0.077605,            0.015039,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.059344,            0.014941,                   0,           0.0036667,             0.64706,            0.030378,           0.0083908,            0.075176,            0.015164,                   0,             0.00406,             0.00406,             0.00406
                  32,             0.07576,            0.018722,                   0,           0.0036667,             0.64706,            0.031674,           0.0096652,            0.073059,            0.015046,                   0,            0.003862,            0.003862,            0.003862
                  33,             0.06301,            0.016741,                   0,           0.0036667,             0.64706,            0.031674,           0.0096652,            0.073059,            0.015046,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.069743,            0.021977,                   0,           0.0036667,             0.64706,            0.047512,            0.018165,            0.071402,            0.014712,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.057009,            0.014927,                   0,           0.0036667,             0.64706,            0.047512,            0.018165,            0.071402,            0.014712,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.064278,            0.018094,                   0,           0.0036667,             0.64706,             0.11888,            0.032479,            0.069074,            0.014975,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.057003,            0.016147,                   0,           0.0036667,             0.64706,             0.11888,            0.032479,            0.069074,            0.014975,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.066773,            0.017843,                   0,           0.0036667,             0.64706,            0.092119,            0.030489,            0.067926,             0.01496,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.057661,            0.017844,                   0,           0.0036667,             0.64706,            0.092119,            0.030489,            0.067926,             0.01496,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.05952,            0.016339,                   0,           0.0036667,             0.64706,             0.08712,            0.028598,            0.070226,            0.014595,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.051643,             0.01551,                   0,           0.0036667,             0.64706,             0.21531,            0.049271,            0.063124,             0.01525,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.055349,            0.020095,                   0,           0.0036667,             0.64706,             0.21531,            0.049271,            0.063124,             0.01525,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.064508,            0.021094,                   0,           0.0036667,             0.64706,              0.2063,            0.047528,              0.0653,            0.014773,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.059912,            0.018165,                   0,           0.0036667,             0.64706,              0.2063,            0.047528,              0.0653,            0.014773,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.051406,            0.017982,                   0,           0.0036667,             0.64706,             0.17248,            0.050275,            0.064241,            0.014811,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.060177,            0.021528,                   0,           0.0036667,             0.64706,             0.17248,            0.050275,            0.064241,            0.014811,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.055643,            0.018662,                   0,           0.0036667,             0.64706,             0.16729,            0.043361,            0.063553,            0.014861,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.051933,            0.020027,                   0,           0.0036667,             0.64706,             0.18504,            0.063848,            0.061157,             0.01518,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.052511,            0.017866,                   0,           0.0036667,             0.64706,             0.18504,            0.063848,            0.061157,             0.01518,                   0,            0.000496,            0.000496,            0.000496
